order_id,order_date,ship_date,city,channel,customer_tier,quantity,unit_price,discount_pct,commission_paid,refund_amount,revenue,returned
102389,2025-06-12,2025-06-21,DAMMAM,online,silver,32,53.17,0.244,38.32,0.0,1277.35,0
102810,15 Sep 2024,2024-09-18,Riyadh,online,bronze,26,112.91,0.198,72.12,1177.01,2403.99,1
101306,2025/04/24,2025-05-08,TABUK ,online,bronze,27,33.67,0.192,21.52,0.0,717.36,0
104508,2024-04-15,2024-04-16,riyadh,store,gold,9,14.78,0.293,2.83,0.0,94.25,0
102377,18 Feb 2025,2025-03-02,Abha,online,silver,13,16.49,0.061,5.98,0.0,199.28,0
104581,23 Feb 2025,2025-03-04,DAMMAM,store,bronze,12,26.68,0.136,8.44,0.0,281.34,0
100276,04/09/2024,2024-04-17,Jeddah,phone,bronze,7,39.65,,7.02,99.72,233.99,1
103352,2025/04/26,2025-04-27,Riyadh,online,bronze,19,41.49,0.101,21.76,522.05,725.39,1
104037,2024-01-27,2024-02-09,Riyadh,online,silver,12,14.29,0.13,4.48,0.0,149.29,0
102933,12 Sep 2024,2024-09-22,JEDDAH,phone,silver,1,41.54,,1.12,0.0,37.22,0
103880,2024-09-09,2024-09-10,Jeddah,online,bronze,4,19.71,,1.78,58.61,59.31,1
100939,11/15/2024,2024-11-19,Tabuk,phone,silver,23,43.41,,27.41,669.31,913.82,1
102679,2025-02-03,2025-02-08,DAMMAM,online,bronze,25,54.63,0.168,34.32,0.0,1144.13,0
104305,2024/05/31,2024-06-01,riyadh,online,bronze,9,90.41,,18.03,0.0,600.98,0
103772,2025/04/05,2025-04-06,tabuk,online,silver,2,20.53,0.308,0.85,0.0,28.4,0
100946,09/21/2024,2024-09-30,Riyadh,store,silver,27,21.9,,14.59,0.0,486.45,0
103526,2024-09-08,2024-09-22,JEDDAH,store,bronze,39,53.97,,42.98,364.78,1432.51,1
103385,21 Oct 2024,2024-10-28,Riyadh,online,silver,39,38.82,0.047,43.21,0.0,1440.28,0
103623,31 Jul 2024,2024-08-09,Jeddah,online,silver,1,28.28,0.28,0.6,0.0,19.96,0
100814,2025-01-13,2025-01-16, Jeddah,online,bronze,25,71.67,0.076,50.17,0.0,1672.45,0
104580,14 Jul 2024,2024-07-18,Riyadh ,online,bronze,14,42.72,0.091,16.14,0.0,537.94,0
100753,09/19/2024,2024-09-28,Riyadh,online,gold,6,158.89,0.136,24.35,0.0,811.75,0
101077,21 Apr 2025,2025-04-24,Jeddah,online,bronze,5,84.93,,9.34,0.0,311.46,0
100609,16 Jun 2025,2025-06-28,Dammam,online,silver,39,16.74,0.091,17.32,304.43,577.21,1
104257,11/17/2024,2024-11-26,Riyadh,online,silver,33,88.17,0.147,74.26,451.18,2475.43,1
101137,2025-01-13,2025-01-25,Jeddah,online,bronze,16,8.27,0.054,3.59,0.0,119.67,0
103840,2025-05-06,2025-05-13,Riyadh,store,bronze,19,24.12,0.174,11.35,0.0,378.26,0
104500,05/30/2025,2025-06-09,Dammam,store,silver,23,51.42,0.126,31.15,494.15,1038.39,1
101028,02/11/2024,2024-02-14,Jeddah,online,gold,11,41.07,0.259,10.01,0.0,333.66,0
104771,2024-01-12,2024-01-13,dammam ,online,silver,15,59.13,0.153,21.62,0.0,720.53,0
101909,2025/04/30,2025-05-06,abha,online,bronze,35,17.35,0.058,17.22,0.0,574.03,0
101014,2024/06/06,2024-06-07,TABUK ,store,bronze,14,34.81,0.044,13.79,0.0,459.75,0
103126,2024/12/31,2025-01-09,riyadh,store,bronze,12,17.25,0.175,5.05,0.0,168.25,0
100325,08/01/2024,2024-08-04,Abha,store,silver,19,78.62,0.188,37.24,0.0,1241.38,0
103483,2024-06-15,2024-06-25,Abha,phone,silver,20,18.07,,9.96,0.0,331.88,0
104195,27 Oct 2024,2024-10-28,riyadh,phone,bronze,13,22.7,,7.4,0.0,246.73,0
102554,2024-07-01,2024-07-11,Tabuk,online,bronze,29,27.74,,16.08,149.62,536.13,1
100046,2024-11-25,2024-12-08,Abha,phone,gold,30,77.75,,56.44,1904.01,1881.41,1
102914,2024-01-21,2024-01-27,Dammam,store,bronze,4,20.87,0.116,2.23,0.0,74.49,0
100118,2024-12-12,2024-12-24,Dammam,phone,gold,3,92.41,,6.09,0.0,203.16,0
101387,2024/10/28,2024-11-11,Dammam,online,silver,28,10.58,0.201,6.96,177.6,232.05,1
104225,31 Jan 2024,2024-02-03,riyadh,phone,silver,20,34.89,,18.86,0.0,628.58,0
102188,2024/08/31,2024-09-09, Jeddah,online,bronze,12,29.78,0.209,8.44,0.0,281.41,0
100763,26 May 2024,2024-05-28,riyadh,online,bronze,13,33.11,0.024,12.45,0.0,415.05,0
101902,2024-11-04,2024-11-18,Riyadh,online,bronze,30,12.59,0.081,10.48,0.0,349.21,0
103890,19 Apr 2025,2025-04-21,Riyadh,online,bronze,5,44.27,0.075,6.07,81.88,202.37,1
101052,2024-08-07,2024-08-11,Riyadh,store,bronze,25,47.01,0.203,27.3,0.0,909.94,0
104341,2025-04-14,2025-04-16,Riyadh ,online,bronze,26,9.54,0.092,6.72,0.0,223.99,0
101733,2024-02-23,2024-03-08,Dammam,online,gold,11,26.59,0.138,7.27,0.0,242.26,0
103976,6 May 2024,2024-05-20,Riyadh,store,bronze,26,26.21,,16.62,0.0,553.99,0
100044,4 Jan 2025,2025-01-12,Riyadh ,store,silver,29,28.58,0.091,21.77,0.0,725.74,0
102247,8 Aug 2024,2024-08-10,Riyadh,online,silver,13,54.23,0.062,20.01,559.46,667.11,1
101519,2024/02/28,2024-03-08,Riyadh,online,gold,7,20.42,,3.1,0.0,103.25,0
101109,2025-04-09,2025-04-23,tabuk,store,silver,26,26.3,0.149,17.39,0.0,579.82,0
101705,2024/03/03,2024-03-07,Jeddah,phone,silver,7,23.88,,4.47,0.0,149.06,0
100976,10/26/2024,2024-11-03,dammam ,online,silver,24,11.66,0.124,7.46,0.0,248.63,0
103455,22 Jun 2024,2024-06-23,Tabuk,store,bronze,34,49.7,,32.14,0.0,1071.31,0
100395,2024-01-30,2024-02-11,Riyadh,online,silver,20,20.86,,9.18,0.0,306.09,0
104832,2025/05/10,2025-05-21,Riyadh,phone,silver,33,165.19,,134.23,0.0,4474.45,0
100936,2024/08/03,2024-08-14,riyadh,online,bronze,26,49.8,0.169,31.73,124.08,1057.68,1
102029,2025-01-06,2025-01-07, Jeddah,store,bronze,29,61.17,,35.21,0.0,1173.64,0
104297,10/18/2024,2024-10-21,Jeddah,online,bronze,29,23.38,0.365,12.91,74.27,430.38,1
101344,05/27/2024,2024-05-29,Jeddah,store,bronze,28,27.75,0.257,16.84,0.0,561.33,0
104044,06/13/2024,2024-06-22,Tabuk,store,silver,13,283.28,,83.37,0.0,2779.15,0
102743,2024/07/05,2024-07-06,Riyadh,online,gold,23,17.3,0.222,9.47,0.0,315.58,0
100791,05/04/2024,2024-05-15,Riyadh,phone,silver,1,58.53,,1.23,0.0,40.9,0
102285,2024/05/27,2024-05-31,Riyadh ,online,silver,1,43.4,0.237,0.99,0.0,33.02,0
101722,30 Nov 2024,2024-12-13,Riyadh,store,bronze,25,52.65,0.234,30.75,483.97,1025.03,1
103672,2024/11/23,2024-12-01,Dammam,online,bronze,2,26.74,0.063,1.54,50.11,51.31,1
104641,2025-01-25,2025-02-08,Riyadh ,online,bronze,39,61.61,0.088,67.99,0.0,2266.19,0
101922,2025-04-02,2025-04-08,Riyadh,online,bronze,17,36.95,,14.88,29.46,496.08,1
103155,2024/05/25,2024-05-28,Riyadh,online,silver,11,41.49,0.167,11.44,0.0,381.46,0
101685,2024-06-21,2024-07-04,Riyadh,online,bronze,23,36.05,0.069,22.45,268.64,748.37,1
104398,6 Aug 2024,2024-08-09,Dammam,phone,bronze,19,16.82,,8.8,0.0,293.25,0
104685,26 Feb 2025,2025-03-05,Tabuk,store,gold,26,35.81,0.206,21.73,0.0,724.29,0
100896,04/26/2024,2024-05-08,Tabuk,online,bronze,1,11.9,0.145,0.31,0.0,10.4,0
101804,2024/01/18,2024-01-25,dammam ,online,silver,21,77.29,0.194,38.12,0.0,1270.68,0
104479,01/14/2024,2024-01-16,Abha,store,silver,28,15.64,,11.91,42.19,396.84,1
104111,9 Sep 2024,2024-09-13,Riyadh ,online,bronze,38,70.15,,56.16,732.58,1872.09,1
101630,2024/03/18,2024-03-31,Jeddah,online,silver,5,56.38,0.257,6.12,209.53,203.93,1
104081,2024/02/22,2024-02-27,Jeddah,online,gold,22,40.26,0.247,20.54,0.0,684.53,0
100555,28 Feb 2025,2025-03-09,riyadh,store,silver,6,17.31,0.15,2.56,0.0,85.49,0
103712,02/17/2024,2024-02-21,Dammam,store,silver,26,38.55,0.07,28.67,0.0,955.81,0
102612,24 Dec 2024,2025-01-03,abha,online,gold,11,29.34,,5.79,0.0,193.14,0
101085,24 Dec 2024,2025-01-03,Tabuk,online,gold,29,38.17,,27.26,429.93,908.83,1
103524,03/03/2025,2025-03-10,JEDDAH,online,silver,20,9.63,0.176,4.73,0.0,157.81,0
102513,2025/06/19,2025-06-20,Riyadh,online,silver,37,115.6,,92.08,0.0,3069.26,0
102043,2025/02/25,2025-03-10,Dammam,store,bronze,2,18.82,0.064,1.08,0.0,35.87,0
104875,19 Mar 2025,2025-03-29,Jeddah,online,bronze,22,33.17,0.13,19.3,0.0,643.47,0
100010,27 Apr 2024,2024-05-01, Jeddah,online,silver,33,27.15,0.201,21.48,0.0,716.05,0
100299,12/04/2024,2024-12-18,Dammam,store,silver,25,144.15,0.105,95.52,0.0,3184.15,0
102356,05/15/2024,2024-05-23,abha,online,bronze,17,45.64,0.057,21.45,0.0,715.04,0
102418,11/20/2024,2024-11-21,Jeddah,phone,gold,40,53.61,,35.54,0.0,1184.78,0
102068,2025-06-21,2025-06-26,TABUK ,online,bronze,23,138.12,0.038,91.27,2257.76,3042.21,1
101856,17 Aug 2024,2024-08-29,tabuk,online,bronze,9,47.45,0.151,10.82,0.0,360.5,0
103399,2025-01-25,2025-01-31,DAMMAM,phone,gold,4,13.8,,1.42,0.0,47.38,0
102721,11/13/2024,2024-11-22, Jeddah,phone,gold,30,36.13,,23.78,0.0,792.61,0
100298,2024-03-10,2024-03-19,Abha,online,bronze,30,53.37,0.119,41.11,658.52,1370.22,1
101807,2024/04/18,2024-04-24,Riyadh ,online,bronze,22,53.61,0.02,35.0,0.0,1166.78,0
100649,5 Dec 2024,2024-12-11,DAMMAM,store,silver,6,44.0,0.072,7.16,0.0,238.72,0
103004,2025-04-23,2025-04-27,dammam ,store,gold,40,36.47,0.181,35.74,0.0,1191.21,0
101836,04/16/2024,2024-04-28,riyadh,online,silver,31,70.95,0.108,59.33,0.0,1977.74,0
104420,09/25/2024,2024-09-27,Jeddah,online,bronze,17,15.03,0.137,6.58,0.0,219.49,0
104694,04/03/2024,2024-04-06,abha,store,bronze,34,65.71,0.38,40.92,0.0,1363.86,0
103818,16 Oct 2024,2024-10-29,Riyadh,phone,bronze,39,77.24,,84.22,0.0,2807.32,0
101719,2024/01/19,2024-01-26,Dammam,store,silver,34,40.7,0.227,32.07,0.0,1069.1,0
102018,2024-12-25,2024-12-28,Riyadh,online,bronze,16,20.19,0.199,7.83,0.0,260.89,0
102940,04/06/2024,2024-04-12,Riyadh,online,bronze,5,19.76,,2.43,0.0,81.07,0
102698,21 Feb 2025,2025-03-02,Riyadh,online,silver,12,44.63,0.258,12.16,0.0,405.25,0
